address,total_trades,winning_trades,win_rate,total_pnl_sol,total_pnl_usd,avg_pnl_per_trade_usd,best_trade_usd,worst_trade_usd,consistency_score,first_seen,last_active,solscan_url
9o3Rko5a2pUVJ3FQKZJGBfLXbAakPc2JVa23xwgN2AfX,15,5,33.33%,-0.8863,-73.05,-4.87,49.74,-50.3,12.12,2026-04-05,2026-04-06,https://solscan.io/account/9o3Rko5a2pUVJ3FQKZJGBfLXbAakPc2JVa23xwgN2AfX
3MJjTxPiJbkLsa7DTyYQENcUrh6UMtHMLu6ro2xqZXzP,6,3,50.00%,-1.3541,-111.39,-18.56,28.74,-131.62,0.0,2026-01-20,2026-01-20,https://solscan.io/account/3MJjTxPiJbkLsa7DTyYQENcUrh6UMtHMLu6ro2xqZXzP
7ePPfWrg6x3T3fi9u5bTxQTo5ZJj2hTr768NAEjN4oep,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/7ePPfWrg6x3T3fi9u5bTxQTo5ZJj2hTr768NAEjN4oep
E1DFZx4reg1XWt7eMR1pvU4gTRQ7Yg2uSPiKVhSxbiVn,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/E1DFZx4reg1XWt7eMR1pvU4gTRQ7Yg2uSPiKVhSxbiVn
SysvarC1ock11111111111111111111111111111111,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/SysvarC1ock11111111111111111111111111111111
6Swj5trBKGehQVLisWEjhaHSVzggu7XPxpmD4xjHpump,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/6Swj5trBKGehQVLisWEjhaHSVzggu7XPxpmD4xjHpump
7sSZwuWcnBvXaMwVidjQ81SJmMTPFEa9tUM9gN2NYA8c,1,0,0.00%,-0.0021,-0.17,-0.17,-0.17,-0.17,0.0,2026-03-24,2026-03-24,https://solscan.io/account/7sSZwuWcnBvXaMwVidjQ81SJmMTPFEa9tUM9gN2NYA8c
8jtHXYdWBG4TmfUX4n4hJkX96exXCewos3hFruVRUHHL,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/8jtHXYdWBG4TmfUX4n4hJkX96exXCewos3hFruVRUHHL
FKenFviZCLhGSE2nAKWdpqgJUXoLPj6LZsNsNkPCtq9S,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/FKenFviZCLhGSE2nAKWdpqgJUXoLPj6LZsNsNkPCtq9S
9n5xXtj4sWxWFAv12YPgW8qRCbZFvMbz9S5t83CHDrGP,6,3,50.00%,0.0888,7.3,1.22,6.53,-0.82,0.0,2026-03-23,2026-03-24,https://solscan.io/account/9n5xXtj4sWxWFAv12YPgW8qRCbZFvMbz9S5t83CHDrGP
3ZHE4SV9emkee8gjkeesFaVohxYprWkGwrPFhpGE5nWt,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/3ZHE4SV9emkee8gjkeesFaVohxYprWkGwrPFhpGE5nWt
A8eWEe4rTiMbkLDUT3PfSqEEe713vB2Uwnfp8P298aJW,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/A8eWEe4rTiMbkLDUT3PfSqEEe713vB2Uwnfp8P298aJW
CyBjGpte4Npi5zNkdtWumPxVW4kpMR8BuFSbA587xZES,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/CyBjGpte4Npi5zNkdtWumPxVW4kpMR8BuFSbA587xZES
Aj1BnV6LofaGMDToEkpACRfFUovuG2KZaxaG57u3pA4c,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/Aj1BnV6LofaGMDToEkpACRfFUovuG2KZaxaG57u3pA4c
B6q6qUqPT3ucCsBaHvFAkHfjLnSrssiiMudvsUdjecgN,0,0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,,,https://solscan.io/account/B6q6qUqPT3ucCsBaHvFAkHfjLnSrssiiMudvsUdjecgN
